Time	Magnitude	Latitude	Longitude	Depth
2006.984102	5.61	-55.573	147.077	10
2006.993442	6.62	13.27	51.434	15
2006.994131	5.55	5.506	-82.698	19.7
2006.99691	5.54	-38.005	-71.4	17.7
2006.997811	5.63	-28.599	-112.206	10
2007.010823	5.79	55.552	-156.101	17.6
2007.018573	6.09	8.08	92.479	17.5
2007.019092	6.04	39.823	70.28	14.8
2007.021655	5.73	59.34	-137.18	12.5
2007.037186	5.51	-61.209	-33.972	10
2007.03871	5.62	-4.668	-105.158	10
2007.04108	5.62	2.608	126.229	65
2007.043871	5.62	-58.014	-64.738	10
2007.044412	6.22	10.114	58.773	10
2007.046253	5.6	-5.566	101.467	15
2007.04754	5.76	-9.969	109.651	25
2007.05069	6.22	-55.203	-29.59	10
2007.054011	7.47	1.127	126.285	22
2007.054421	5.67	-55.721	-27.134	55.7
2007.055949	5.71	-2.579	136.397	45
2007.057658	5.79	-3.341	146.525	15
2007.058666	5.51	-43.076	41.837	15
2007.064909	6.03	22.62	122.026	40
2007.077905	6.86	-54.92	146.24	10
2007.079812	6.58	21.081	144.944	20
2007.080455	6.51	-29.668	-177.771	53.8
2007.082424	5.52	-7.843	107.212	59.6
2007.082847	5.52	-37.785	77.939	10
2007.091439	5.57	35.278	-36.172	15
2007.093423	6.19	19.358	-78.376	15
2007.093463	6.17	-55.869	-122.749	10
2007.094904	5.76	-20.648	-175.583	35
2007.101405	5.51	-17.855	-71.082	63
2007.113182	5.86	-5.035	145.024	50
2007.114144	5.98	35.879	-10.287	15
2007.114392	6.09	5.546	126.328	24
2007.118581	5.92	-29.596	-112.15	10
2007.120675	5.71	0.33	97.252	18.4
2007.127507	5.72	-7.32	155.883	34.4
2007.131831	5.65	6.038	-82.638	15
2007.132394	5.61	1.764	30.841	25
2007.133762	5.82	-20.158	173.299	15
2007.13576	6.72	-1.039	127.006	25
2007.138842	5.72	38.368	39.296	10
2007.145326	5.68	-45.248	-72.316	25
2007.146088	6.35	-7.024	-80.524	24.8
2007.146653	5.5	1.042	-85.334	13.1
2007.150241	5.89	26.167	-110.454	15
2007.1509	5.69	-29.243	-177.13	19
2007.152296	5.52	-16.062	167.52	50.8
2007.153985	5.69	-44.661	35.276	10
2007.159391	6.12	-55.322	-29.231	10
2007.162126	5.98	26.581	-44.663	15
2007.167253	5.89	-0.014	126.802	40
2007.167336	5.74	-55.127	-129.164	10
2007.168998	5.58	33.614	-38.653	10
2007.173606	6.43	-0.52	100.534	17.9
2007.17715	5.9	1.973	97.964	35
2007.178533	5.5	3.116	-31.769	10
2007.179927	6.19	-58.168	-7.973	10
2007.182233	5.68	-11.474	66.277	10
2007.186067	5.7	74.236	8.635	15
2007.186541	5.83	55.195	161.841	55
2007.187675	5.7	44.01	147.886	50.5
2007.1897	5.61	-28.8	-177.04	15
